101, 11, 1.582694333s
101, 12, 1.609807473s
101, 13, 1.736751083s
101, 14, 1.752613859s
101, 15, 2.029151984s
101, 16, 2.625063961s
101, 17, 4.610898601s
101, 18, 4.652161356s
101, 19, 4.663671011s
101, 20, 4.742832417s
101, 21, 4.749507776s
101, 22, 4.761510489s
101, 23, 4.949299947s
101, 24, 4.986332755s
101, 25, 5.046589732s
101, 26, 5.046686023s
101, 27, 5.066365939s
101, 28, 5.118586306s
101, 29, 5.117733133s
101, 30, 5.16714882s
101, 31, 5.177761384s
101, 32, 5.181651138s
101, 33, 5.187580247s
101, 34, 5.204919966s
101, 35, 5.216371054s
101, 36, 5.216397405s
101, 37, 5.216152587s
101, 38, 5.237747473s
101, 39, 5.234770008s
101, 40, 5.239757045s
101, 41, 5.238449991s
101, 42, 5.236687036s
101, 43, 5.274915334s
101, 44, 5.276166174s
101, 45, 5.303353162s
101, 46, 5.30896862s
101, 47, 5.314729602s
101, 48, 5.316263921s
101, 49, 5.316312093s
101, 50, 5.316571228s
101, 51, 5.315162241s
101, 52, 5.320956646s
101, 53, 5.330306648s
101, 54, 5.329394572s
101, 55, 5.338078397s
101, 56, 5.340241074s
101, 57, 5.344877786s
101, 58, 5.35371328s
101, 59, 5.357579471s
101, 60, 5.356686877s
101, 61, 5.360340847s
101, 62, 5.361814583s
101, 63, 5.359621836s
101, 64, 5.366404572s
101, 65, 5.367062267s
101, 66, 5.367206452s
101, 67, 5.369470898s
101, 68, 5.369516935s
101, 69, 5.393605459s
101, 70, 5.400743682s
101, 71, 5.40069489s
101, 72, 5.401275785s
101, 73, 5.401514342s
101, 74, 5.399633655s
101, 75, 5.414206872s
101, 76, 5.417150211s
101, 77, 5.424803101s
101, 78, 5.431964623s
101, 79, 5.432728488s
101, 80, 5.43269293s
101, 81, 5.43517218s
101, 82, 5.43474736s
101, 83, 5.436272437s
101, 84, 5.45538722s
101, 85, 5.466763673s
101, 86, 5.4745142s
101, 87, 5.484042707s
101, 88, 5.491172414s
101, 89, 5.491052332s
101, 90, 5.49933932s
101, 91, 5.505778641s
101, 92, 5.52247257s
101, 93, 5.523129171s
101, 94, 5.525099147s
101, 95, 5.578243626s
101, 96, 5.580592062s
101, 97, 5.588155758s
101, 98, 5.613012732s
101, 99, 5.613545772s
101, 100, 5.638528225s
101, 101, 5.686720548s
