mounted, id, time
100, 24, 203
100, 1, 217
100, 23, 224
100, 56, 221
100, 6, 239
100, 55, 222
100, 15, 251
100, 2, 250
100, 21, 273
100, 3, 275
100, 16, 284
100, 40, 261
100, 5, 311
100, 64, 308
100, 4, 323
100, 83, 302
100, 52, 312
100, 19, 322
100, 51, 314
100, 29, 310
100, 20, 343
100, 59, 323
100, 25, 340
100, 47, 336
100, 97, 330
100, 7, 386
100, 74, 370
100, 37, 385
100, 13, 423
100, 94, 400
100, 63, 400
100, 70, 400
100, 60, 410
100, 41, 413
100, 8, 426
100, 76, 399
100, 17, 426
100, 11, 431
100, 43, 412
100, 62, 396
100, 77, 397
100, 75, 405
100, 65, 413
100, 96, 407
100, 53, 423
100, 39, 430
100, 48, 427
100, 22, 438
100, 50, 427
100, 69, 418
100, 85, 418
100, 28, 440
100, 9, 447
100, 10, 447
100, 12, 455
100, 31, 446
100, 32, 452
100, 89, 428
100, 35, 425
100, 98, 424
100, 81, 424
100, 44, 440
100, 91, 436
100, 26, 445
100, 58, 435
100, 78, 440
100, 88, 435
100, 79, 437
100, 54, 458
100, 30, 454
100, 99, 437
100, 73, 443
100, 82, 442
100, 61, 457
100, 93, 449
100, 71, 445
100, 100, 452
100, 68, 457
100, 72, 446
100, 38, 470
100, 46, 450
100, 95, 447
100, 80, 465
100, 33, 480
100, 34, 478
100, 57, 469
100, 18, 486
100, 67, 463
100, 87, 467
100, 27, 481
100, 42, 477
100, 49, 474
100, 36, 466
100, 92, 465
100, 86, 461
100, 90, 470
100, 66, 468
100, 84, 471
