mounted, id, time
10000, 2288, 3535
10000, 2164, 3791
10000, 2287, 3285
10000, 2436, 1278
10000, 2444, 1183
10000, 2359, 2315
10000, 2403, 1844
10000, 2431, 1320
10000, 2090, 3957
10000, 2443, 1228
10000, 2274, 3690
10000, 2360, 2861
10000, 2445, 1260
10000, 2433, 1340
10000, 2421, 1355
10000, 2407, 1478
10000, 2329, 3436
10000, 2192, 3860
10000, 2212, 3980
10000, 2221, 3973
10000, 2229, 3868
10000, 2430, 1363
10000, 2406, 1474
10000, 2231, 3891
10000, 2391, 1344
10000, 2423, 1298
10000, 2401, 2605
10000, 2439, 1794
10000, 2400, 503
10000, 2483, 671
10000, 2521, 753
10000, 2405, 1046
10000, 2322, 3937
10000, 2502, 1498
10000, 2086, 4736
10000, 2220, 4666
10000, 2376, 3414
10000, 2476, 1698
10000, 2410, 2690
10000, 2457, 960
10000, 2256, 5164
10000, 2428, 2521
10000, 2533, 1936
10000, 2465, 2283
10000, 2326, 693
10000, 2394, 2323
10000, 2500, 1251
10000, 2528, 1825
10000, 2250, 5213
10000, 2099, 5398
10000, 2393, 1438
10000, 2316, 4892
10000, 2275, 5152
10000, 2461, 1008
10000, 2257, 5155
10000, 2396, 298
10000, 2267, 5399
10000, 2467, 2634
10000, 2371, 416
10000, 2222, 5748
10000, 2538, 925
10000, 2456, 1755
10000, 2501, 2178
10000, 2494, 3058
10000, 2450, 2092
10000, 2374, 3740
10000, 2492, 3413
10000, 2437, 3909
10000, 2529, 3461
10000, 2416, 4344
10000, 2414, 1508
10000, 2453, 409
10000, 2363, 5511
10000, 2385, 1725
10000, 2539, 2106
10000, 2361, 5974
10000, 2534, 3527
10000, 2491, 651
10000, 2474, 4008
10000, 2527, 3900
10000, 2526, 3934
10000, 2419, 4390
10000, 2515, 2981
10000, 2418, 2384
10000, 2422, 1594
10000, 2471, 4110
10000, 2516, 2767
10000, 2551, 1270
10000, 2523, 1280
10000, 2552, 1411
10000, 2493, 4470
10000, 2399, 2351
10000, 2452, 1413
10000, 2273, 7951
10000, 2462, 3768
10000, 2536, 4681
10000, 2470, 5134
10000, 2315, 3564
10000, 2366, 4722
10000, 2544, 2514
10000, 2508, 2409
10000, 2429, 7715
10000, 2532, 4192
10000, 2511, 4416
10000, 2484, 4355
10000, 2549, 4423
10000, 2387, 7837
10000, 2398, 9004
10000, 2325, 208
10000, 2489, 1252
10000, 2463, 7481
10000, 2535, 8348
10000, 2402, 9984
10000, 2477, 9002
10000, 2548, 1272
10000, 2503, 2229
10000, 2504, 2224
10000, 2459, 7770
10000, 2449, 9624
10000, 2469, 9724
10000, 2499, 8230
10000, 2455, 8269
10000, 2451, 6243
10000, 2448, 10460
10000, 2479, 10348
10000, 2540, 7225
10000, 2438, 10977
10000, 2530, 10294
10000, 2505, 4220
10000, 2510, 8328
10000, 2525, 11274
10000, 2497, 5214
10000, 2546, 6222
10000, 2563, 4225
10000, 2478, 15252
10000, 2555, 3185
10000, 2305, 15946
10000, 2558, 7194
10000, 2557, 7204
10000, 2472, 16846
10000, 2157, 20274
10000, 2496, 3232
10000, 2485, 4232
10000, 2495, 19317
10000, 2556, 9228
